DateTime,SpacesOccupied,PercentOccupied,
2/6/17 21:30,613,62.61491318,Staff
2/6/17 21:45,591,60.36772217,Staff
2/6/17 22:00,541,55.26046987,Staff
2/6/17 22:15,487,49.74463739,Staff
2/6/17 22:30,412,42.08375894,Staff
2/6/17 22:45,340,34.72931563,Staff
2/6/17 23:00,294,30.03064351,Staff
2/6/17 23:15,247,25.22982635,Staff
2/6/17 23:30,209,21.34831461,Staff
2/6/17 23:45,176,17.97752809,Staff
2/7/17 0:00,147,15.01532176,Staff
2/7/17 0:15,138,14.09601634,Staff
2/7/17 0:30,127,12.97242084,Staff
2/7/17 0:45,121,12.35955056,Staff
2/7/17 1:00,110,11.23595506,Staff
2/7/17 1:15,108,11.03166496,Staff
2/7/17 1:30,105,10.72522983,Staff
2/7/17 1:45,104,10.62308478,Staff
2/7/17 2:00,98,10.0102145,Staff
2/7/17 2:15,96,9.805924413,Staff
2/7/17 2:30,95,9.703779367,Staff
2/7/17 2:45,91,9.295199183,Staff
2/7/17 3:00,90,9.193054137,Staff
2/7/17 3:15,86,8.784473953,Staff
2/7/17 3:30,86,8.784473953,Staff
2/7/17 3:45,84,8.580183861,Staff
2/7/17 4:00,85,8.682328907,Staff
2/7/17 4:15,81,8.273748723,Staff
2/7/17 4:30,79,8.069458631,Staff
2/7/17 4:45,79,8.069458631,Staff
2/7/17 5:00,78,7.967313585,Staff
2/7/17 5:15,77,7.865168539,Staff
2/7/17 5:30,77,7.865168539,Staff
2/7/17 5:45,77,7.865168539,Staff
2/7/17 6:00,71,0,Staff
2/7/17 6:15,71,0,Staff
2/7/17 6:30,71,0,Staff
2/7/17 6:45,71,0,Staff
2/7/17 7:00,79,8.069458631,Staff
2/7/17 7:15,79,8.069458631,Staff
2/7/17 7:30,79,8.069458631,Staff
2/7/17 7:45,79,8.069458631,Staff
2/7/17 8:00,79,8.069458631,Staff
2/7/17 8:15,79,8.069458631,Staff
2/7/17 8:30,79,8.069458631,Staff
2/7/17 8:45,79,8.069458631,Staff
2/7/17 9:00,79,8.069458631,Staff
2/7/17 9:15,79,8.069458631,Staff
